brand,model,year,head_weight_g,dimension,vcog,moi,rcog,loft,adj_vcog,vcog_cf,cf_1,cf_2,points,mpf,category,iron_number,source_pdf
CALLAWAY,X Hot #6,2013,257.2,1.595,0.857,13.3446,0.563,26,-0.071,.786,0,27,836,866,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
MALTBY,Tour+ #6,2015,263.1,1.594,0.820,13.7060,0.501,28,-0.035,.785,0,27,836,866,Ultra Game Improvement,6,MPF_MALTBY.pdf
MALTBY,KE4 Tour #6,2012,263.4,1.594,0.820,13.7060,0.501,28,-0.035,.785,0,27,836,866,Ultra Game Improvement,6,MPF_MALTBY.pdf
MAXFLI,XC3 Forged #6,2025,261.8,1.482,0.783,12.7220,0.568,27,-0.086,0.697,0,51,836,866,Super Game Improvement,6,MPF_MAXFLI.pdf
COBRA,King SZ ONE #6,2020,268.4,1.479,0.796,14.0355,0.577,25,-0.096,.700,0,56,835,865,Ultra Game Improvement,6,MPF_COBRA.pdf
One Iron Golf,1 Iron Pro-Line#6,2021,260.5,1.472,0.748,12.8998,0.484,26,-0.058,0.690,0,52,834,864,Ultra Game Improvement,6,MPF_1IRONGOLF.pdf
COBRA,King SZ Women’s #6,2020,261.0,1.443,0.772,13.9153,0.582,24,-0.106,.666,0,56,833,863,Ultra Game Improvement,6,MPF_COBRA.pdf
MALTBY,KE4-S #6,2014,261.8,1.522,0.788,12.0721,0.537,28,-0.063,.725,0,36,833,863,Ultra Game Improvement,6,MPF_MALTBY.pdf
PING,IV,1980,253,1.502,0.797,13.60570,0.575,27,-0.086,.711,0,41,832,862,Ultra Game Improvement,,MPF_PING.pdf
COBRA,King Cobra S9 #6,2008,260.0,1.528,0.790,14.4789,0.527,29,-0.049,0.741,0,43,830,860,Ultra Game Improvement,6,MPF_COBRA.pdf
GOLFWORKS,Vectrax,2000,254,1.520,0.800,12.44100,0.550,27,-0.073,.727,0,37,830,860,Game Improvement Ultra,,MPF_GOLFWORKS.pdf
COBRA Brand,King Cobra S9 #6 Model,2008,260.0,1.528,0.790,14.4789,0.527,29,-0.049,0.741,0,43,830,860,Category,6,MPF_LYNX.pdf
MALTBY,KE4 V Polymer Back #6,2008,263.4,1.530,0.801,12.8354,0.556,29,-0.062,0.739,0,39,830,860,Ultra Game Improvement,6,MPF_MALTBY.pdf
CLEVELAND,Halo XL Full Face #7,2025,268,1.527,.866,16.2251,.694,29,-0.119,.747,0,49,829,859,Ultra Game Improvement,7,MPF_CLEVELAND.pdf
PEERLESS,Lexor,N/A,256,1.558,0.812,13.18710,0.512,26,-0.057,.755,0,26,829,859,Ultra Game Improvement,,MPF_PEERLESS.pdf
GOLDWIN,AVDP (Oversize),2000,259,1.535,0.868,12.73313,0.675,26,-0.123,.745,0,38,828,858,Ultra Game Improvement,,MPF_GOLDWIN.pdf
PING,Rhapsody #6,2008,259.5,1.568,0.813,14.8537,0.560,31,-0.043,0.770,0,30,828,858,Ultra Game Improvement,6,MPF_PING.pdf
TAYLORMADE,M2 #6,2017,252.7,1.478,0.798,11.7687,0.582,24.5,-0.101,.697,0,47,828,858,Ultra Game Improvement,6,MPF_TAYLORMADE.pdf
CALLAWAY,X-24 Hot #6,2011,259,1.555,0.799,13.2947,0.508,28,-0.044,.755,0,27,827,857,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
CALLAWAY,Big Bertha #6,2008,264.0,1.487,0.821,14.2341,0.658,28,-0.118,.703,0,43,827,857,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
GOLFWORKS,CER 900 OS #6,2010,260.3,1.525,.775,11.9159,.518,30,-.041,.734,0,36,827,857,Ultra Game Improvement,6,MPF_GOLFWORKS.pdf
GOLFWORKS,CER VX OS #6,2011,260.3,1.525,.775,11.9159,.518,30,-.041,.734,0,36,827,857,Ultra Game Improvement,6,MPF_GOLFWORKS.pdf
MALTBY,STi #6,2015,254.0,1.553,0.790,14.3470,0.486,28,-0.035,.755,0,29,827,857,Ultra Game Improvement,6,MPF_MALTBY.pdf
MIZUNO,JPX 925 Hot Metal HL #6,2025,257.1,1.508,0.828,15.8167,0.628,28,-0.100,.728,0,47,827,857,Ultra Game Improvement,6,MPF_MIZUNO.pdf
WILSON,Reflex,1980,251,1.441,0.780,13.42240,0.625,28,-0.112,.668,0,54,827,857,Ultra Game Improvement,,MPF_WILSON.pdf
TAYLORMADE,Qi Max #6,2026,252.7,1.471,0.798,12.8524,0.585,24,-0.102,.696,0,51,826,856,Ultra Game Improvement,6,MPF_TAYLORMADE.pdf
TITLEIST,T350 Forged #6,2025,260.0,1.439,0.757,14.5919,0.546,26,-0.086,0.671,0,58,826,856,Ultra Game Improvement,6,MPF_TITLEIST.pdf
ADAMS,Idea VST #6,2014,253.5,1.435,0.816,14.3854,0.707,27,-0.148,.668,0,58,825,855,Ultra Game Improvement,6,MPF_ADAMS_GOLF.pdf
COBRA,King Oversize #6,2017,264.0,1.525,0.822,14.0893,0.565,26.5,-0.080,.742,0,42,825,855,Ultra Game Improvement,6,MPF_COBRA.pdf
GOLFWORKS,CER 900 #6,2010,264.3,1.468,.742,12.6291,.525,31,-.048,.694,0,51,825,855,Ultra Game Improvement,6,MPF_GOLFWORKS.pdf
TOMMY ARMOUR,Royal Scot #6,2006,271,1.464,0.765,13.2453,0.656,36,-.073,.692,0,53,825,855,Ultra Game Improvement,6,MPF_TOMMYARMOUR.pdf
CALLAWAY,X-22 #6,2009,260.2,1.526,0.781,12.9885,0.521,30,-0.040,.741,0,39,824,854,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
COBRA,Air X #6,2022,255.5,1.460,0.755,13.6147,0.512,27,-0.065,.690,0,54,824,854,Ultra Game Improvement,6,MPF_COBRA.pdf
COBRA,King Cobra UFi #6,2008,261.9,1.425,0.771,15.3644,0.605,27,-0.108,0.663,0,61,823,853,Ultra Game Improvement,6,MPF_COBRA.pdf
GOLFWORKS,CER 701+,2002,254,1.444,0.760,12.64070,0.550,26,-0.087,.673,0,51,822,852,Ultra Game Improvement,,MPF_GOLFWORKS.pdf
MIZUNO,Tava Ladies #7,2006,269,1.345,0.763,13.0757,0.783,35,-0.174,.589,0,65,821,851,Ultra Game Improvement,7,MPF_MIZUNO.pdf
TITLEIST,T400 #6,2020,257.6,1.543,0.856,15.2324,0.609,23,-0.104,0.752,0,30,821,851,Ultra Game Improvement,6,MPF_TITLEIST.pdf
MALTBY,TS3 DBM Black Forged #6,2025,261.1,1.463,0.764,12.3021,0.541,28,-0.072,.692,0,49,820,850,Super Game Improvement,6,MPF_MALTBY.pdf
MALTBY,TS3 Forged #6,2023,261.4,1.463,0.747,11.7242,0.502,28,-0.056,.691,0,47,819,849,Super Game Improvement,6,MPF_MALTBY.pdf
GOLFWORKS,CER 701U,2003,251,1.362,0.720,12.44781,0.587,27,-0.112,.608,0,62,816,846,Super Game Improvement,,MPF_GOLFWORKS.pdf
