brand,model,year,mpf,category,category_by_score,iron_number,source
ONE IRON GOLF,1 Iron Pro-Line #6,2021,864,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King SZ Women's #6,2020,863,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,KE4-S,2014,863,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
PING,IV,1980,862,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
COBRA,King Cobra S9 #6,2008,860,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
GOLFWORKS,CER,2008,860,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
GOLFWORKS,Vectrax,2000,860,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,KE4 V Polymer Back,2008,860,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
CLEVELAND,Halo XL Full Face #7,2025,859,Ultra Game Improvement,Ultra Game Improvement,7,GolfWorks Maltby Playability Factor
PEERLESS,Lexor,,859,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
GOLDWIN,AVDP (Oversize),2000,858,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
PING,Rhapsody,2008,858,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
TAYLORMADE,M2 #6,2017,858,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Big Bertha #6,2008,857,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,X-24 Hot #6,2011,857,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
GOLFWORKS,CER 900 OS #6,2010,857,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
GOLFWORKS,CER VX OS #6,2011,857,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,STi #6,2015,857,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MIZUNO,JPX 925 Hot Metal HL #6,2025,857,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
WILSON,Reflex,1980,857,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
