brand,model,year,mpf,category,tier,vs_P770_gamer,vs_X20Tour_best,fit_score,in_pref_band,loft,moi,vcog,head_weight_g
TAYLORMADE,Stealth HD #6,2023.0,972,Ultra Game Improvement,D - outside preferred range,405,256,0.0,False,25.5,13.711,0.763,253.9
WILSON,Dynapwr #6,2023.0,498,Conventional,D - outside preferred range,-69,-218,0.0,False,24.0,16.505,0.912,262.3
COBRA,King Tour #6,2023.0,484,Conventional,D - outside preferred range,-83,-232,0.0,False,28.0,13.185,0.815,261.1
MIZUNO,Pro 225 Forged #6,2023.0,472,Conventional,D - outside preferred range,-95,-244,0.0,False,26.5,12.4507,0.832,257.7
MIZUNO,JPX 923 Tour #6,2023.0,446,Conventional,D - outside preferred range,-121,-270,0.0,False,30.0,12.5744,0.8,258.3
COBRA,King CB #6,2023.0,428,Conventional,D - outside preferred range,-139,-288,0.0,False,30.0,12.2274,0.804,262.1
TAYLORMADE,P 7MC Forged #6,2023.0,408,Conventional,D - outside preferred range,-159,-308,0.0,False,30.0,11.7301,0.812,253.0
PING,i230 #6,2023.0,393,Classic,D - outside preferred range,-174,-323,0.0,False,29.0,15.398,0.892,262.5
COBRA,King MB #6,2023.0,384,Classic,D - outside preferred range,-183,-332,0.0,False,29.0,11.8759,0.806,262.1
TAYLORMADE,P 7MB Forged #6,2023.0,321,Classic,D - outside preferred range,-246,-395,0.0,False,29.5,11.2597,0.803,253.2
MIZUNO,Pro 221 Forged #6,2023.0,303,Classic,D - outside preferred range,-264,-413,0.0,False,30.0,11.5553,0.793,255.7
